GEOID,actual_evictions,clf_pred_score,clf_pred_label,reg_pred_evictions
421010273003,95.0,0.9999999914708663,1.0,78.57142857142857
421010301002,78.0,0.999999961277048,1.0,78.57142857142857
421010242002,63.0,0.9999993981905011,1.0,53.125
421010268001,62.0,0.9999996893366251,1.0,53.125
421010362011,52.0,0.9999997824494335,1.0,53.125
421010086011,49.0,0.999999920930809,1.0,51.666666666666664
421010206001,49.0,0.9999981573411864,1.0,53.125
421010346001,48.0,0.9999995032069661,1.0,45.0
421010353021,48.0,0.9999995578441508,1.0,53.125
421010276001,46.0,0.9999999901144251,1.0,44.285714285714285
421010301001,44.0,0.9999997683408589,1.0,45.0
421010348021,43.0,0.9999999089352468,1.0,44.285714285714285
421010270002,42.0,0.9999969144459636,1.0,41.22222222222222
421010373003,42.0,0.9999920390658809,1.0,53.125
421010243002,42.0,0.9999590164732267,1.0,37.57142857142857
421010257001,42.0,0.9999927335991882,1.0,41.22222222222222
421010307001,41.0,0.9999992778683998,1.0,44.285714285714285
421010036003,37.0,0.9999965892644922,1.0,32.44444444444444
421010165003,37.0,0.9999999506578219,1.0,32.5
