GEOID,year_evictions,eviction-filings,evictions,low-flag,imputed,subbed,evictions_t-1,evictions_t-2,evictions_t-5,year_features,crime_count,violations_count,total_population,total_households,total_renter_households,renter_occupied_household_size,median_gross_rent,median_household_income,units,occupied_units,vacant_units,for_rent_units,num_af_am_alone,num_hisp,black_alone_owner_occupied,num_with_high_school_degree,num_with_ged,num_unemployed
421010003002,2016,18.0,11.0,0,0,1,5.0,9.0,5.0,2015.0,116.0,,2603.0,1375.0,878.0,1.63,1906.0,79688.0,1519.0,1375.0,878.0,78.0,141.0,192.0,17.0,237.0,17.0,113.0
421010004011,2010,32.0,11.0,0,0,1,13.0,19.0,11.0,,,,,,,,,,,,,,,,,,,
421010004011,2011,33.0,14.0,0,0,1,11.0,13.0,11.0,2010.0,,,1525.0,1169.0,1004.0,1.27,866,21832,1531.0,1169.0,1004.0,190.0,99.0,84.0,0.0,,,
421010004011,2012,41.0,12.0,0,0,1,14.0,11.0,10.0,2011.0,266.0,,2034.0,1491.0,1119.0,1.35,874,26547,1778.0,1491.0,1119.0,132.0,180.0,80.0,14.0,,,82.0
421010004011,2013,70.0,20.0,0,0,1,12.0,14.0,19.0,2012.0,264.0,,2287.0,1632.0,1210.0,1.39,965,30000,1905.0,1632.0,1210.0,149.0,261.0,55.0,15.0,250.0,32.0,40.0
421010004011,2014,84.0,30.0,0,0,1,20.0,12.0,13.0,2013.0,222.0,,2458.0,1703.0,1215.0,1.46,991.0,44943.0,2001.0,1703.0,1215.0,128.0,293.0,80.0,21.0,257.0,17.0,63.0
421010004011,2015,55.0,24.0,0,0,1,30.0,20.0,11.0,2014.0,184.0,,2566.0,1707.0,1188.0,1.53,971.0,45949.0,2038.0,1707.0,1188.0,159.0,331.0,160.0,21.0,303.0,20.0,73.0
421010004011,2016,35.0,11.0,0,0,1,24.0,30.0,14.0,2015.0,227.0,,2836.0,1830.0,1293.0,1.59,940.0,46228.0,2033.0,1830.0,1293.0,93.0,365.0,176.0,9.0,335.0,9.0,74.0
421010004021,2010,0.0,0.0,0,0,1,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
421010004021,2011,3.0,2.0,0,0,1,0.0,0.0,1.0,2010.0,,,1227.0,964.0,256.0,1.33,711,38594,1099.0,964.0,256.0,0.0,42.0,0.0,15.0,,,
421010004021,2012,0.0,0.0,0,0,1,2.0,0.0,0.0,2011.0,77.0,,1266.0,1025.0,296.0,1.29,1005,32398,1140.0,1025.0,296.0,0.0,44.0,0.0,16.0,,,29.0
421010004021,2013,0.0,0.0,0,0,1,0.0,2.0,1.0,2012.0,52.0,,1169.0,942.0,227.0,1.34,716,31500,1052.0,942.0,227.0,0.0,46.0,0.0,17.0,201.0,0.0,18.0
421010004021,2014,1.0,0.0,0,0,1,0.0,0.0,0.0,2013.0,58.0,,1108.0,892.0,255.0,1.27,579.0,29052.0,972.0,892.0,255.0,0.0,26.0,0.0,0.0,237.0,0.0,15.0
421010004021,2015,14.0,2.0,0,0,1,0.0,0.0,0.0,2014.0,59.0,,1163.0,928.0,217.0,1.25,788.0,30208.0,980.0,928.0,217.0,0.0,12.0,16.0,12.0,237.0,0.0,0.0
421010004021,2016,11.0,2.0,0,0,1,2.0,0.0,2.0,2015.0,49.0,,1124.0,906.0,214.0,1.22,778.0,35000.0,948.0,906.0,214.0,0.0,32.0,19.0,32.0,208.0,12.0,0.0
421010004022,2010,7.0,2.0,0,0,1,5.0,4.0,4.0,,,,,,,,,,,,,,,,,,,
421010004022,2011,11.0,3.0,0,0,1,2.0,5.0,6.0,2010.0,,,1929.0,1331.0,797.0,1.47,1223,57809,1435.0,1331.0,797.0,0.0,92.0,73.0,0.0,,,
421010004022,2012,26.0,10.0,0,0,1,3.0,2.0,4.0,2011.0,1582.0,,1932.0,1396.0,712.0,1.48,1503,47698,1510.0,1396.0,712.0,0.0,70.0,70.0,0.0,,,36.0
421010004022,2013,39.0,15.0,0,0,1,10.0,3.0,4.0,2012.0,1325.0,,1852.0,1365.0,688.0,1.39,1597,52009,1635.0,1365.0,688.0,0.0,15.0,45.0,0.0,154.0,0.0,45.0
421010004022,2014,40.0,17.0,0,0,1,15.0,10.0,5.0,2013.0,1137.0,,1784.0,1339.0,662.0,1.33,1947.0,56107.0,1737.0,1339.0,662.0,44.0,13.0,40.0,0.0,164.0,0.0,59.0
421010004022,2015,22.0,13.0,0,0,1,17.0,15.0,2.0,2014.0,1625.0,,1904.0,1463.0,693.0,1.33,1915.0,67802.0,1769.0,1463.0,693.0,29.0,50.0,34.0,0.0,106.0,0.0,69.0
421010004022,2016,24.0,10.0,0,0,1,13.0,17.0,3.0,2015.0,2763.0,,1925.0,1539.0,716.0,1.28,1782.0,68388.0,1883.0,1539.0,716.0,31.0,103.0,18.0,14.0,154.0,8.0,46.0
421010005001,2010,39.0,12.0,0,0,1,15.0,10.0,20.0,2009.0,,,728.0,120.0,120.0,.,1340,62625,175.0,120.0,120.0,22.0,261.0,171.0,0.0,,,
421010005001,2011,31.0,12.0,0,0,1,12.0,15.0,11.0,2010.0,,,1606.0,636.0,625.0,1.50,944,45357,750.0,636.0,625.0,69.0,446.0,205.0,0.0,,,
421010005001,2012,34.0,14.0,0,0,1,12.0,12.0,10.0,2011.0,1970.0,,2113.0,660.0,658.0,1.51,1004,47039,786.0,660.0,658.0,72.0,627.0,502.0,0.0,,,20.0
421010005001,2013,40.0,12.0,0,0,1,14.0,12.0,10.0,2012.0,1940.0,,2194.0,711.0,691.0,1.52,1073,45734,835.0,711.0,691.0,80.0,679.0,480.0,0.0,437.0,167.0,52.0
421010005001,2014,59.0,14.0,0,0,1,12.0,14.0,15.0,2013.0,1855.0,,2267.0,736.0,711.0,1.53,1200.0,48718.0,864.0,736.0,711.0,88.0,782.0,436.0,0.0,363.0,218.0,57.0
421010005001,2015,60.0,21.0,0,0,1,14.0,12.0,12.0,2014.0,1862.0,,2388.0,795.0,765.0,1.55,1164.0,46563.0,889.0,795.0,765.0,30.0,763.0,429.0,0.0,350.0,265.0,76.0
421010005001,2016,43.0,15.0,0,0,1,21.0,14.0,12.0,2015.0,2656.0,,2316.0,797.0,765.0,1.45,1338.0,40673.0,916.0,797.0,765.0,37.0,800.0,404.0,0.0,299.0,293.0,117.0
421010006001,2010,21.0,7.0,0,0,1,6.0,7.0,12.0,2009.0,,,1622.0,578.0,569.0,.,1387,44216,643.0,578.0,569.0,0.0,315.0,158.0,0.0,,,
421010006001,2011,8.0,2.0,0,0,1,7.0,6.0,11.0,2010.0,,,1541.0,653.0,632.0,1.42,1377,53938,713.0,653.0,632.0,0.0,316.0,55.0,0.0,,,
421010006001,2012,22.0,9.0,0,0,1,2.0,7.0,8.0,2011.0,528.0,,1641.0,613.0,603.0,1.36,1381,56250,735.0,613.0,603.0,61.0,340.0,104.0,0.0,,,279.0
421010006001,2013,22.0,9.0,0,0,1,9.0,2.0,7.0,2012.0,496.0,,1565.0,639.0,624.0,1.43,1465,62806,755.0,639.0,624.0,61.0,298.0,75.0,0.0,84.0,0.0,127.0
421010006001,2014,31.0,8.0,0,0,1,9.0,9.0,6.0,2013.0,533.0,,1534.0,631.0,617.0,1.49,1634.0,75313.0,746.0,631.0,617.0,66.0,168.0,133.0,0.0,96.0,0.0,121.0
