,year,GEOID,crime_count
669,2011,421010191003,141
670,2011,421010191004,168
671,2011,421010191005,341
672,2011,421010191006,90
673,2011,421010192001,92
674,2011,421010192002,215
675,2011,421010192003,219
676,2011,421010192004,676
677,2011,421010192005,204
678,2011,421010192006,90
679,2011,421010195011,229
680,2011,421010195012,297
681,2011,421010195013,239
682,2011,421010195021,170
683,2011,421010195022,261
684,2011,421010195023,127
685,2011,421010197001,145
686,2011,421010197002,136
687,2011,421010197003,79
688,2011,421010197004,136
689,2011,421010197005,127
690,2011,421010197006,115
691,2011,421010198001,122
692,2011,421010198002,76
693,2011,421010198003,75
694,2011,421010198004,113
695,2011,421010198005,160
696,2011,421010198006,132
697,2011,421010199001,198
698,2011,421010199002,181
699,2011,421010199003,150
700,2011,421010199004,266
701,2011,421010200001,106
702,2011,421010200002,452
703,2011,421010201011,370
704,2011,421010201012,209
705,2011,421010201013,201
706,2011,421010201021,173
707,2011,421010201022,134
708,2011,421010201023,223
709,2011,421010201024,98
710,2011,421010202001,172
711,2011,421010202002,70
712,2011,421010202003,111
713,2011,421010202004,119
714,2011,421010202005,196
715,2011,421010202006,94
716,2011,421010203001,409
717,2011,421010203002,458
718,2011,421010204001,94
719,2011,421010204002,146
720,2011,421010204003,142
721,2011,421010204004,126
722,2011,421010205001,352
723,2011,421010205002,233
724,2011,421010206001,146
725,2011,421010207001,73
726,2011,421010207002,36
727,2011,421010207003,94
728,2011,421010207004,179
729,2011,421010208001,58
730,2011,421010208002,45
731,2011,421010209001,18
732,2011,421010209002,43
733,2011,421010209003,67
734,2011,421010209004,26
735,2011,421010210001,91
736,2011,421010210002,46
737,2011,421010210003,46
738,2011,421010210004,209
739,2011,421010210005,40
740,2011,421010211001,45
741,2011,421010211002,72
742,2011,421010212001,115
743,2011,421010212002,64
744,2011,421010213001,54
745,2011,421010213002,82
746,2011,421010213003,61
747,2011,421010213004,32
748,2011,421010213005,37
749,2011,421010214001,141
750,2011,421010214002,24
751,2011,421010214003,39
752,2011,421010214004,46
753,2011,421010214005,63
754,2011,421010215001,51
755,2011,421010215002,95
756,2011,421010215003,81
757,2011,421010215004,52
758,2011,421010216001,40
759,2011,421010216002,98
760,2011,421010217001,76
761,2011,421010217002,81
762,2011,421010217003,76
763,2011,421010217004,36
764,2011,421010218001,40
765,2011,421010218002,42
766,2011,421010218003,31
767,2011,421010219001,74
768,2011,421010220001,62
769,2011,421010231001,74
770,2011,421010235001,52
771,2011,421010236001,36
772,2011,421010236002,34
773,2011,421010236003,100
774,2011,421010237001,71
775,2011,421010237002,90
776,2011,421010237003,47
777,2011,421010237004,114
778,2011,421010238001,77
779,2011,421010238002,113
780,2011,421010238003,116
781,2011,421010238004,94
782,2011,421010238005,45
783,2011,421010239001,52
784,2011,421010239002,79
785,2011,421010240001,69
786,2011,421010240002,158
787,2011,421010240003,78
788,2011,421010240004,72
789,2011,421010241001,557
790,2011,421010242001,124
791,2011,421010242002,128
792,2011,421010242003,97
793,2011,421010242004,159
794,2011,421010243001,86
795,2011,421010243002,145
796,2011,421010243003,61
797,2011,421010243004,68
798,2011,421010244001,116
799,2011,421010244002,101
800,2011,421010244003,177
801,2011,421010245001,199
802,2011,421010245002,165
803,2011,421010245003,214
804,2011,421010245004,132
805,2011,421010246001,162
806,2011,421010246002,172
807,2011,421010246003,467
808,2011,421010247001,123
809,2011,421010247002,245
810,2011,421010247003,115
811,2011,421010247004,308
812,2011,421010247005,144
813,2011,421010248001,76
814,2011,421010248002,229
815,2011,421010249001,168
816,2011,421010249002,144
817,2011,421010249003,97
818,2011,421010249004,98
819,2011,421010252001,90
820,2011,421010252002,166
821,2011,421010252003,92
822,2011,421010252004,67
823,2011,421010252005,115
824,2011,421010252006,114
825,2011,421010252007,119
826,2011,421010253001,120
827,2011,421010253002,71
828,2011,421010253003,69
829,2011,421010253004,60
830,2011,421010253005,99
831,2011,421010254001,38
832,2011,421010254002,67
833,2011,421010254003,43
834,2011,421010254004,96
835,2011,421010255001,36
836,2011,421010255002,58
837,2011,421010255003,67
838,2011,421010256001,43
839,2011,421010256002,49
840,2011,421010256003,50
841,2011,421010257001,87
842,2011,421010257002,45
843,2011,421010257003,29
844,2011,421010258001,77
845,2011,421010259001,98
846,2011,421010259002,35
847,2011,421010259003,45
848,2011,421010259004,44
849,2011,421010259005,56
850,2011,421010259006,39
851,2011,421010260001,50
852,2011,421010260002,46
853,2011,421010260003,68
854,2011,421010261001,96
855,2011,421010261002,60
856,2011,421010261003,73
857,2011,421010262001,44
858,2011,421010262002,48
859,2011,421010262003,76
860,2011,421010262004,109
861,2011,421010263011,90
862,2011,421010263012,39
863,2011,421010263013,50
864,2011,421010263014,45
865,2011,421010263021,91
866,2011,421010263022,143
867,2011,421010263023,78
868,2011,421010263024,222
869,2011,421010264001,59
870,2011,421010264002,49
871,2011,421010264003,64
872,2011,421010264004,56
873,2011,421010264005,111
874,2011,421010264006,49
875,2011,421010264007,69
876,2011,421010265001,56
877,2011,421010265002,71
878,2011,421010265003,38
879,2011,421010265004,87
880,2011,421010265005,101
881,2011,421010265006,91
882,2011,421010266001,77
883,2011,421010266002,71
884,2011,421010266003,45
885,2011,421010266004,51
886,2011,421010266005,37
887,2011,421010266006,97
888,2011,421010266007,82
889,2011,421010266008,49
890,2011,421010267001,84
891,2011,421010267002,51
892,2011,421010267003,63
893,2011,421010267004,113
