classifier,explained_variance,mean_squared_error,parameters,r2,root_mean_squared_error,split
RFR,0.7502027167475926,19.276029288204647,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",0.7484978119255292,4.3904475043217,1
RFR,0.7502786806979549,19.30463968565584,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 1000}",0.7481245204424612,4.393704551475422,1
RFR,0.8291015787863493,13.170986431110137,"{'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.8281527872262384,3.629185367422025,1
RFR,0.8345738480408421,12.778869652641573,"{'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 1000}",0.833268894194695,3.574754488442748,1
RFR,0.8403484318896011,12.29436057548198,"{'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.8395904810332326,3.5063314982303058,1
RFR,0.8309875317207873,13.072575956853955,"{'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 1000}",0.8294367886787586,3.615601742013901,1
RFR,0.8271185300197506,13.415096503102014,"{'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.8249677839084367,3.6626624882866308,1
RFR,0.8190677589797616,14.037902240103593,"{'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 1000}",0.8168417843439373,3.746718863232681,1
RFR,0.8027834279587196,15.266786524995428,"{'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",0.8008080316493534,3.907273541101957,1
RFR,0.822685706673822,13.720742096284125,"{'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 1000}",0.8209799016370781,3.7041520077183825,1
RFR,0.8059028887122377,15.043374461495704,"{'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",0.8037229796385016,3.878578922942745,1
RFR,0.8188407321173345,14.020948279105315,"{'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 1000}",0.8170629895633237,3.7444556719375535,1
RFR,0.7952273616899678,15.977310800894596,"{'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",0.7915375326582559,3.997162843930004,1
RFR,0.8016522153049238,15.386049829614226,"{'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 1000}",0.7992519548443149,3.9225055550775485,1
LR,0.865961386859368,9.961964271318704,{},0.8654384348267078,3.156257953862248,2
SVR,0.8246634291551377,13.528899498485652,{'C': 0.01},0.8172579380926233,3.678165235342976,2
SVR,0.856754776239094,10.646556165046585,{'C': 0.1},0.8561912869534523,3.2629060919748496,2
DTR,0.7953210465849184,15.174373731158651,"{'max_depth': 5, 'max_features': None, 'min_samples_split': 2}",0.795031639927885,3.8954298519109094,2
DTR,0.8045592189325292,14.486733386847272,"{'max_depth': 5, 'max_features': None, 'min_samples_split': 5}",0.8043199648492302,3.806144162646401,2
DTR,0.81338830659586,13.83360445951675,"{'max_depth': 5, 'max_features': None, 'min_samples_split': 10}",0.8131421256528559,3.7193553822560097,2
DTR,0.7429969537034669,19.04116766467066,"{'max_depth': 50, 'max_features': None, 'min_samples_split': 2}",0.7428007917010934,4.3636186433590485,2
DTR,0.7602893957847247,17.77382214737192,"{'max_depth': 50, 'max_features': None, 'min_samples_split': 5}",0.7599195036115607,4.215901107399452,2
DTR,0.7764471036326714,16.57069178159177,"{'max_depth': 50, 'max_features': None, 'min_samples_split': 10}",0.7761708272177898,4.070711458896561,2
RFR,0.8278186950247514,12.747543625294297,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.8278121286508731,3.5703702364452763,2
RFR,0.8160875958816954,13.615564874254085,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 1000}",0.8160873026343827,3.6899274890238813,2
RFR,0.8224164219437791,13.147144251006777,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.8224145098504414,3.6258990955357233,2
RFR,0.8200499202713366,13.322281503180388,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 1000}",0.8200488375662633,3.6499700688060974,2
RFR,0.8157296107398212,13.64261002250191,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.8157219893909846,3.6935903972289497,2
RFR,0.8197947635390477,13.341091626507232,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 1000}",0.8197947591970757,3.6525459102531803,2
RFR,0.7910745495114181,15.467800972175992,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",0.7910681616679345,3.9329125304506825,2
RFR,0.8004406288047359,14.77421029952048,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 1000}",0.8004368608481582,3.8437234941551766,2
RFR,0.7933422688531442,15.301141262415108,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",0.7933193232647812,3.911667325120467,2
RFR,0.7964759470394179,15.067477573383304,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 1000}",0.7964755433498912,3.881684888470895,2
RFR,0.7887228878098832,15.641503963862622,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",0.7887218627051957,3.95493412889047,2
RFR,0.7953575277495559,15.150251671314926,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 1000}",0.7953574694570191,3.892332420453696,2
RFR,0.861992881628215,10.218563023952095,"{'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.8619724186038558,3.1966487176341563,2
RFR,0.8670160435104742,9.846241910179641,"{'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 1000}",0.867001558485488,3.1378721946853796,2
RFR,0.8587697708887562,10.465720618919192,"{'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.8586339291335621,3.2350766017080943,2
